score_id	set_id	difficulty	tags
5043618	5043619	1	art-song,classical,german,mourning,romantic,song-cycle,piano
7006856	5110379	1	art-song,classical,german,romantic,song-cycle,piano
7006959	5110379	1	art-song,classical,german,romantic,song-cycle,piano
7008709	5110379	2	art-song,classical,german,romantic,song-cycle,piano
7011202	5110379	1	art-song,classical,german,romantic,song-cycle,piano
7011252	5110379	2	art-song,classical,german,romantic,song-cycle,piano
7018964	5110379	2	art-song,classical,german,romantic,song-cycle,piano
7019213	5110379	2	art-song,classical,german,romantic,song-cycle,piano
7019290	5110379	1	art-song,classical,german,romantic,song-cycle,piano
6482928	5105987	2	art-song,british,classical,late-romantic,romantic,piano
6484163	5105987	1	art-song,british,classical,late-romantic,romantic,piano
6484095	5105987	2	art-song,british,classical,late-romantic,romantic,piano
6215563	5103573	2	art-song,british,children,classical,late-romantic,romantic,song-cycle,piano
6218722	5103573	2	art-song,british,children,classical,late-romantic,romantic,song-cycle,piano
6218728	5103573	2	art-song,british,children,classical,late-romantic,romantic,song-cycle,piano
6218732	5103573	1	art-song,british,children,classical,late-romantic,romantic,song-cycle,piano
6218734	5103573	3	art-song,british,children,classical,late-romantic,romantic,song-cycle,piano
6218737	5103573	2	art-song,british,children,classical,late-romantic,romantic,song-cycle,piano
6218740	5103573	2	art-song,british,children,classical,late-romantic,lullaby,romantic,song-cycle,piano
6218743	5103573	2	art-song,british,children,classical,late-romantic,romantic,song-cycle,piano
7163829	5110892	1	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
7086632	5110892	1	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5060910	5060912	2	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5060918	5060912	2	art-song,classical,french,impressionism,late-romantic,love,romantic,song-cycle,piano
5060924	5060912	2	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5060932	5060912	3	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5060938	5060912	2	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5060943	5060912	3	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5060949	5060952	3	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5060961	5060952	3	art-song,classical,french,impressionism,late-romantic,night,romantic,song-cycle,piano
5060972	5060952	3	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5060975	5060952	3	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5060980	5060952	2	art-song,classical,french,impressionism,late-romantic,mourning,romantic,song-cycle,piano
5079442	5079444	3	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5079450	5079444	2	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
5079459	5079444	3	art-song,classical,french,impressionism,late-romantic,romantic,song-cycle,piano
6510449	5106276	1	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6510502	5106276	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6230256	5103561	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6230258	5103561	1	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6230260	5103561	2	art-song,british,classical,late-romantic,romantic,seasons,song-cycle,piano
6230261	5103561	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6601006	5107056	1	art-song,british,classical,female-composer,romantic,piano
6601058	5107056	2	art-song,british,classical,female-composer,romantic,piano
6600532	5107056	3	art-song,british,classical,female-composer,romantic,sea-and-water,piano
6600932	5107056	3	art-song,british,classical,female-composer,romantic,piano
6592539	5106919	1	art-song,classical,classical-period,female-composer,french,piano
6592662	5106919	2	art-song,classical,classical-period,female-composer,french,piano
6593095	5106919	1	art-song,classical,classical-period,female-composer,french,sacred,piano
6594151	5106919	1	art-song,classical,classical-period,female-composer,french,piano
6546527	5103579	1	art-song,british,classical,late-romantic,romantic,piano
6233544	5103578	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6233545	5103578	2	art-song,british,classical,late-romantic,romantic,sea-and-water,song-cycle,piano
6236149	5103577	2	art-song,british,classical,late-romantic,nature,romantic,song-cycle,piano
6236150	5103577	1	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6236151	5103577	2	art-song,british,classical,late-romantic,romantic,seasons,song-cycle,piano
6236152	5103577	2	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6236153	5103577	3	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6236154	5103577	3	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6236155	5103577	3	art-song,british,classical,late-romantic,romantic,song-cycle,piano
6569865	5106729	2	art-song,classical,female-composer,german,late-romantic,romantic,song-cycle,piano
6569855	5106729	2	art-song,classical,female-composer,german,late-romantic,romantic,song-cycle,piano
6575317	5106755	2	art-song,classical,female-composer,german,late-romantic,romantic,song-cycle,piano
6575466	5106755	3	art-song,classical,female-composer,german,late-romantic,romantic,song-cycle,piano
6164267	5103310	2	art-song,classical,female-composer,german,late-romantic,romantic,song-cycle,piano
6164292	5103310	1	art-song,classical,female-composer,german,late-romantic,romantic,song-cycle,piano
6258870	5104223	1	art-song,classical,female-composer,german,late-romantic,romantic,song-cycle,piano
6258930	5104223	2	art-song,classical,female-composer,german,late-romantic,romantic,song-cycle,piano
6259106	5104223	2	art-song,classical,female-composer,german,late-romantic,romantic,song-cycle,piano
